sentence1,sentence2,score
"Bagi Kathy Nicolo (Jennifer Connelly)
rumah berarti stabilitas dan keluarga.",Kathy Nicolo (Jennifer Connelly) sangat ingin agar keluarganya tidak mengetahui bahwa hidupnya telah berantakan.,0.4
"Indeks aktivitas nonmanufaktur Institute for Supply Management naik secara tidak terduga di bulan April
menurut laporan.","Institute for Supply Management mengatakan indeks aktivitas non-manufaktur naik menjadi 50,7 dari 47,9 di bulan Maret.",0.68
"Juru bicara WHO Maria Cheng setuju
dengan mengatakan: ""Ini terlihat sangat mirip dengan peristiwa yang terisolasi.""","""Ini terlihat sangat mirip dengan kejadian yang terisolasi,"" kata juru bicara Organisasi Kesehatan Dunia (WHO)
Maria Cheng.",0.92
Polisi mengatakan bahwa kedua anaknya yang masih kecil berada sendirian di apartemen tersebut selama dua hari.,Polisi mengatakan bahwa kedua anaknya yang masih kecil berada di sana sendirian selama dua hari saat dia terbaring tak bernyawa.,0.65
"Pendeta tersebut
Pdt. John F. Johnston
64 tahun
dari 35th Avenue di Jackson Heights
didakwa atas tuduhan pelecehan yang diperparah dan kepemilikan senjata secara kriminal.","Pendeta John Johnston
64 tahun
didakwa melakukan pelecehan berat dalam kasus panggilan telepon dan kepemilikan senjata api
menurut pernyataan polisi.",0.75
"Penyelesaian tersebut termasuk biaya dan pengeluaran pengacara sebesar $4,1 juta.","Pengacara penggugat akan mendapatkan $4,1 juta dari penyelesaian tersebut.",0.9
Tiga suara tidak setuju akan membunuhnya untuk saat ini.,Dibutuhkan tiga suara untuk membunuh ekspansi ACC.,0.73
"Sekitar 660 tahanan dari 42 negara
termasuk Kanada
ditahan
banyak yang ditangkap selama perang melawan jaringan al-Qaida di Afghanistan.","Sekitar 660 tahanan dari 42 negara ditahan di pangkalan Angkatan Laut di Teluk Guantanamo
banyak di antaranya yang ditangkap selama perang melawan Al Qaeda di Afghanistan.",0.67
"Untuk menghubungi John A. Dvorak
yang meliput di Kansas
hubungi (816) 234-7743 atau kirim email ke jdvorak@kctar.com.","Untuk menghubungi Brad Cooper
reporter kota Johnson County
hubungi (816) 234-7724 atau kirim email ke bcooper@kcstar.com.",0.2
Jaksa penuntut Jim Hardin menyebut keputusan tersebut sebagai kemenangan bagi keluarga Kathleen Peterson.,Anggota keluarga Kathleen Peterson tidak hadir.,0.2
"Dan sekarang apa pun yang ingin dia katakan,"" ujar Alesha Badgley
direktur sosial Stone County Nursing and Rehabilitation Center
minggu ini.","Dan sekarang ini adalah hal yang ingin dia katakan,"" ujar direktur sosial Stone County Nursing and Rehabilitation Center
Alesha Badgley.",1.0
"Denominasi nasional Gereja Episkopal
dengan 2,3 juta anggota
adalah cabang AS dari Persekutuan Anglikan yang beranggotakan 77 juta orang.","Gereja Episkopal
dengan 2,3 juta anggota
adalah cabang Amerika dari Persekutuan Anglikan di seluruh dunia
yang memiliki 77 juta pengikut.",1.0
"""Saya merasa yakin untuk mengatakan bahwa HP bukan lagi sebuah cerita integrasi,"" ujar Fiorina.","""Masih banyak yang harus kami lakukan
namun saya merasa yakin bahwa HP bukan lagi sekadar cerita tentang integrasi.""",0.68
Polisi Inggris menangkap 21 orang pada hari Selasa dini hari sehubungan dengan dugaan pembunuhan ritual terhadap seorang anak laki-laki Afrika yang mayatnya ditemukan di Sungai Thames.,Polisi telah menangkap 21 orang sehubungan dengan pembunuhan seorang anak kecil Nigeria yang mayatnya ditemukan mengambang di sungai Thames tanpa kepala dan kaki.,0.7
"Pada sore hari
rata-rata industri Dow Jones naik 12,81
atau 0,1 persen
pada 9.331,77
setelah naik 201 poin pada hari Senin ke level tertinggi sejak Juli 2002.","Pada perdagangan pagi hari
rata-rata industri Dow Jones turun 8,76
atau 0,1 persen
pada 9.310,20
setelah naik 201 poin pada hari Senin.",0.25
Eric Gagne melakukan penyelamatan sempurna untuk kesembilan kalinya dalam 23 kesempatan.,Gagne memukul keluar dua kali dalam inning kesembilan yang sempurna untuk penyelamatan ke-23 nya.,0.65
"Saham-saham ditutup di NASDAQ tepat di bawah level tertinggi 52 minggu
pada $32,17
naik $1,54.","Perdagangan saham EchoStar ditutup pada hari Selasa pada level tertinggi dalam 52 minggu terakhir di $32,17
naik $1,54.",0.65
Janice Kelly mengatakan bahwa suaminya telah menerima jaminan dari pejabat senior Kementerian Pertahanan bahwa namanya tidak akan dipublikasikan.,"Dia mengatakan kepada penyelidikan bahwa suaminya telah menerima jaminan dari atasannya dan pejabat senior kementerian bahwa ketika dia maju ke depan
namanya tidak akan dipublikasikan.",0.75
"Jika terbukti bersalah
mereka terancam hukuman lima tahun penjara dan denda $250.000 untuk masing-masing dari 11 dakwaan.","Jika terbukti bersalah
masing-masing terancam hukuman hingga lima tahun penjara dan denda sebesar $250.000 atau lebih
tergantung pada jumlah keuntungan yang didapat.",0.65
Spread imbal hasil obligasi korporasi AS mengetat pada perdagangan hari Jumat karena Wall Street berusaha keras untuk bangkit kembali setelah pemadaman listrik terbesar yang pernah terjadi di Amerika Utara.,"Saham-saham AS naik sedikit dengan volume yang tidak terlalu besar pada hari Jumat
karena Wall Street berkumpul kembali setelah pemadaman listrik terbesar yang pernah terjadi di Amerika Utara.",0.72
"Evakuasi berjalan dengan lancar
meskipun para penumpang tidak diberitahu apa yang sedang terjadi
kata Hunt.","Para penumpang dievakuasi dengan lancar
meskipun mereka tidak diberitahu apa yang sedang terjadi
katanya.",0.88
"Antara tahun 1993 dan 2002
ada 142 tuduhan kekerasan seksual yang dilaporkan.","Dari tahun 1993 hingga 2002
terdapat 142 kasus kekerasan seksual yang dilaporkan di akademi tersebut.",0.72
"Smith hanya berkata
""Oh
Tuhan,"" dalam beberapa detik setelahnya
menurut Weinshall.","Pada detik-detik setelah kecelakaan
tambahnya
Kapten Smith hanya berkata
""Ya Tuhan.""",0.75
Cooley mengatakan bahwa ia memperkirakan Muhammad juga akan dipanggil sebagai saksi pada sidang praperadilan untuk Malvo.,"Lee Boyd Malvo akan dipanggil sebagai saksi pada hari Rabu dalam sidang praperadilan untuk tersangka penembak jitu lainnya
John Allen Muhammad.",0.5
"""Dia benar-benar meninggalkan kami dengan senyuman di wajahnya dan tidak ada kata-kata terakhir,"" kata putrinya
Linda Hope.","""Dia benar-benar meninggalkan kami dengan senyuman di wajahnya dan tidak ada kata-kata terakhir... Dia memberi kami masing-masing sebuah ciuman dan hanya itu,"" katanya.",0.65
Dia juga dapat dilarang secara permanen dari industri sekuritas.,"Young menghadapi denda
skorsing
atau dilarang secara permanen dari industri sekuritas.",0.67
"""Mereka adalah pasangan yang inspiratif
tidak mementingkan diri sendiri dan berani,"" ujar sutradara peraih Oscar ini.","Dia berkata: ""Mereka adalah pasangan yang menginspirasi
tidak mementingkan diri sendiri dan berani.",0.6
"Korban kedua
Michael Walker
23 tahun
tertembak di bagian torso
peluru menembus paru-parunya.","Korban lainnya
Michael Walker
dari 550 Barbey Street
mengalami luka tembak di bagian leher.",0.44
"Dalam sebuah wawancara
Healey
yang merupakan seorang kriminolog
mengakui bahwa sebagian besar sentimen di antara para legislator di sini dan di seluruh negeri adalah kewaspadaan terhadap hukuman mati.","Dalam sebuah wawancara
Healey
yang merupakan seorang kriminolog
mengatakan bahwa banyak anggota parlemen di sini dan di seluruh negeri yang memiliki pandangan yang sama terhadap hukuman mati.",0.92
"Hakim Eksekutif Franklin County
Teresa Barton
mengatakan bahwa seorang petugas pemadam kebakaran tersambar petir dan dibawa ke Frankfort Regional Medical Center.","Seorang petugas pemadam kebakaran daerah
tersambar petir dan dalam kondisi stabil di Frankfort Regional Medical Center.",0.64
"Juru bicara Polri Brigjen Edward Aritonang mengkonfirmasi pada hari Sabtu bahwa dua orang lainnya telah ditangkap
satu di Jakarta dan satu lagi di Magelang
Jawa Tengah.","Brigadir Jenderal Edward Aritonang
juru bicara kepolisian
mengkonfirmasi kemarin bahwa dua orang lainnya telah ditangkap
satu di Jakarta dan satu lagi di Magelang
Jawa Tengah.",1.0
Hakim Federal William Barbour mengatakan pada hari Selasa bahwa ia menjatuhkan hukuman maksimal karena Avants tidak menunjukkan penyesalan dalam pembunuhan brutal tersebut.,Hakim Distrik AS William Barbour mengatakan bahwa ia menjatuhkan hukuman maksimal karena Avants tidak menunjukkan penyesalan.,0.72
Sekitar 120 calon juri diminta untuk mengisi kuesioner yang panjang.,Para juri dibawa ke ruang sidang dalam kelompok-kelompok yang terdiri dari 40 orang dan diminta untuk mengisi kuesioner.,0.64
"Lima juri alternatif juga dipilih
dengan juri terakhir akan dipilih pada hari Jumat pagi dari panel juri.","Lima juri alternatif juga telah dipilih
dengan juri alternatif keenam yang akan dipilih pada hari Jumat.",0.92
Biro Pertanian California tidak segera membalas telepon untuk meminta komentar.,Biro Pertanian California tidak segera memberikan tanggapan resmi atas keputusan hari Selasa itu.,0.76
"Namun
sang perdana menteri mengatakan kepada BBC bahwa ia tidak terganggu oleh jajak pendapat dan bahwa ia akan terus melakukan apa yang ia yakini benar.","Dia mengatakan bahwa dia tidak terganggu oleh jajak pendapat dan bahwa dia akan terus melakukan apa yang dia yakini benar
baik dalam kebijakan luar negeri maupun dalam negeri.",0.68
Jenderal Sattler mengepalai Satuan Tugas Gabungan Gabungan yang berbasis di kapal di Teluk Aden dan Samudra Hindia.,Jenderal Sattler mengepalai Satuan Tugas Gabungan Gabungan di atas kapal komando Mount Whitney.,0.72
"Analis Wall Street memperkirakan 22 sen per saham
menurut Thomson First Call.",Hasilnya 3 sen per saham lebih rendah dari perkiraan analis yang disurvei oleh Thomson First Call.,0.44
Keputusan hukum ini menyusul spekulasi yang intens selama tiga hari mengenai kemungkinan Hewlett-Packard Co. akan mengajukan penawaran untuk perusahaan tersebut.,Keputusan hukum ini menyusul volatilitas saham RIM selama tiga hari karena spekulasi bahwa raksasa PC Hewlett-Packard Co. akan mengajukan penawaran untuk perusahaan ini.,0.72
Temuan ini dipublikasikan dalam Annals of Internal Medicine edisi 1 Juli.,Temuan ini dipublikasikan hari ini di Annals of Internal Medicine.,0.76
Langkah-langkah tersebut dapat diambil oleh Senat secara penuh paling cepat pada hari Jumat.,Ratliff mengatakan bahwa ia berharap dapat membawa kedua langkah tersebut ke Senat pada hari Jumat.,0.8
"Juru bicara Enron
Eric Thode
menolak berkomentar mengenai perintah mediasi tersebut.","""Kami pikir ini adalah berita yang bagus,"" kata juru bicara Enron
Eric Thode.",0.35
Analis Departemen Tenaga Kerja berpendapat bahwa statistik penggajian dari survei bisnis memberikan gambaran yang lebih akurat mengenai ekonomi karena angka-angka survei didasarkan pada sampel yang lebih besar.,Para analis mengatakan bahwa mereka percaya bahwa statistik penggajian memberikan gambaran yang lebih akurat tentang ekonomi karena didasarkan pada sampel yang lebih besar.,0.8
"Sebelumnya
ia mengatakan kepada France Inter-Radio
""Saya pikir sekarang kita dapat mengkualifikasikan apa yang sedang terjadi sebagai sebuah epidemi yang nyata.""","""Saya pikir kita sekarang dapat mengkualifikasikan apa yang terjadi sebagai epidemi yang nyata,"" kata Menteri Kesehatan Jean-Francois Mattei di radio France Inter.",0.64
"Terri Schiavo
39
diperkirakan akan meninggal dalam dua minggu ke depan di rumah sakit daerah Tampa di mana ia telah menghabiskan waktu selama beberapa tahun terakhir.","Terri Schiavo
39
menjalani prosedur tersebut di rumah sakit daerah Tampa Bay di mana dia telah tinggal selama beberapa tahun
kata ayahnya
Bob Schindler.",0.36
"Sebelum bergabung dengan Kodak
Palumbo bekerja di Procter & Gamble Corp
di mana ia mengelola produk-produk seperti Folgers dan sampo Pantene.","Sebelum bergabung dengan Eastman Kodak
Bapak Palumbo menduduki posisi pemasaran senior di Procter & Gamble.",0.75
Bapak McDevitt telah diberikan kendali atas tiga aspek penting kepolisian di Solomon.,Mr McDevitt telah diberikan kendali atas tiga aspek kepolisian oleh Komisaris William Morrell.,0.75
Pejabat dari North Carolina Speedway di Rockingham tidak dapat dihubungi.,Para pejabat NASCAR tidak dapat dihubungi untuk dimintai komentar pada hari Selasa.,0.58
Mereka mengatakan bahwa anak tersebut dibawa ke Nassau County Medical Center untuk diobservasi.,"Anak laki-laki itu dibawa ke Nassau University Medical Center
di mana staf mengatakan bahwa dia ""baik-baik saja.""",0.68
"Tisha Kresler
juru bicara Global Crossing
menolak berkomentar.",Perwakilan Global Crossing tidak memberikan komentar.,0.72
"Gubernur Rick Perry mengatakan bahwa meskipun ia menentang perluasan perjudian
ia enggan memveto kelanjutan Komisi Lotere.","Gubernur Rick Perry menentang perluasan perjudian
namun ia mengatakan bahwa ia akan ""sulit"" memveto RUU sunset lotere.",0.76
"Pada perdagangan tengah hari
indeks komposit Nasdaq naik 8,34
atau 0,5%
menjadi 1.790,47.","Indeks Komposit Nasdaq .IXIC turun 8,59 poin
atau 0,48 persen
menjadi 1.773,54.",0.32
"Di Kentucky
Jaksa Agung dari Partai Demokrat
Ben Chandler
menghadapi Rep. dari Partai Republik
Ernie Fletcher.","Kentucky: Ernie Fletcher dari Partai Republik
anggota DPR tiga periode
bertarung melawan Jaksa Agung negara bagian dari Partai Demokrat
Ben Chandler.",0.76
"Dow Jones Industrial Average turun 98,32
atau sekitar 1,1 persen
menjadi 9011,53.","Indeks Dow Jones Industrial Average ditutup turun 98,32 poin pada level 9.011,53.",0.68
"Program 401(k) Enron mencakup sekitar 20.000 pekerja
pensiunan
dan penerima manfaat.",Saham Enron mencakup sebanyak 61% dari portofolio 401(k) para pekerja.,0.5
Komite kehakiman Senat AS berhasil mengatasi rintangan yang signifikan kemarin dalam perjuangan untuk menciptakan dana perwalian untuk membayar para korban paparan asbes.,"Komite kehakiman Senat pada hari Selasa berhasil mengatasi rintangan yang signifikan dalam perjuangan untuk menciptakan dana perwalian untuk membayar para korban paparan asbes
namun rintangan yang paling sulit tetap ada.",0.75
"Namun ia tidak mengatakan apakah ia akan mengesahkan anggaran sebesar $117,4 milyar untuk tahun 2004-05.",Ia mengatakan bahwa ia belum tahu apakah ia akan mengesahkan anggaran tersebut.,0.63
Akan sulit untuk melebih-lebihkan potensi bahaya dari kerentanan Remote Procedure Call (RPC).,"Cacat ini melibatkan protokol Remote Procedure Call (RPC)
yang berhubungan dengan komunikasi antar komputer.",0.5
"Meskipun obesitas dapat meningkatkan risiko masalah kesehatan
para skeptis berpendapat bahwa merokok dan kolesterol tinggi juga dapat meningkatkan risiko masalah kesehatan.","Meskipun obesitas dapat meningkatkan risiko sejumlah masalah kesehatan
para skeptis berpendapat bahwa merokok dan kolesterol tinggi tidak termasuk dalam kategori penyakit.",0.85
Michelle Wie melakukan chip pada hari Minggu saat meraih kemenangan 1-0 atas Virada Nirapathpongporn di Kejuaraan Public Links Amatir Wanita AS ke-27.,Kini ia meraih trofi pertamanya setelah menang di US Women's Amateur Public Links pada hari Minggu.,0.55
"Sony mengatakan bahwa PSP juga akan dilengkapi dengan layar LCD 4,5 inci
slot ekspansi Memory Stick.","Kamera ini juga dilengkapi layar LCD 4,5 inci dengan cahaya latar dan fasilitas perluasan memori.",0.55
"Di salah satu dari tiga lokasi pengambilan sampel di Pantai Huntington
hasil pembacaan bakteri menunjukkan angka 160 pada tanggal 16 Juni dan 120 pada tanggal 23 Juni.",Hasil pembacaan menunjukkan angka 160 pada tanggal 16 Juni dan 120 pada tanggal 23 Juni di salah satu dari tiga lokasi pengambilan sampel di Pantai Huntington.,0.65
"Di mana pancing ulur biasanya menangkap 10 ikan per 100 kail dalam beberapa dekade terakhir
kini mereka beruntung bisa menangkap satu ikan saja
demikian hasil penelitian tersebut.","""Jika dulu pancing panjang bisa menangkap 10 ikan per 100 kail
sekarang mereka beruntung jika bisa menangkap satu ikan,"" kata Myers.",0.84
"Saham Carnival Corp. diperdagangkan pada $31,29 pada perdagangan tengah hari Rabu
turun 72 sen atau 2,25 persen.","Saham Carnival Corp. turun 2,5 persen
atau 81 sen
pada $31,20 di New York Stock Exchange.",0.64
"Namun
kritik Senat terhadap rencana DPR pada hari Selasa datang dari beberapa pihak.",Dan beberapa anggota Senat dari Partai Republik rewel dengan peta DPR.,0.55
"Akibatnya
Murphy mencari pengganti saudara perempuan Strier
Ethel Celnik
sebagai wali amanat.","Murphy mengatakan bahwa saudara perempuan Strier
Ethel Celnik
berada di ruang sidang pada saat itu
tetapi Strier tidak.",0.35
"Aturan ini melarang kelompok-kelompok untuk menayangkan iklan yang mempromosikan
mendukung
menyerang
atau menentang seorang kandidat kapan saja.","Ini menegakkan aturan fallback yang melarang grup yang sama untuk menayangkan iklan yang mempromosikan
mendukung
menyerang
atau menentang kandidat kapan saja.",0.75
Cisco memangkas pengeluaran untuk mengimbangi penjualan yang lesu.,"Menanggapi penjualan yang lesu
Cisco memangkas pengeluaran.",0.96
